panel,scenario_id,family_id,canonical_work_order_id,diagnostic_trade_date,symbol,description,depth_confirmation,capacity_events_per_date,precommitted_horizon_ticks,source_horizon_seconds,impulse_bps,decision_l2_l5_qty_imbalance,decision_top5_qty_imbalance,replenishment_ratio,side,side_sign,entry_price,exit_price,quantity,gross_pnl_inr,cost200_inr,net_pnl_inr
external_catalyst_continuation_full_depth,P444_catalyst_continuation_H600_exhaustion_C3,official_catalyst_continuation,P373_2026-07-17_TECHM_106701371,2026-07-17,TECHM,Copy of Newspaper Publication,exhaustion,3,600,900.0,4.7611490239644505,-0.7048192771084337,-0.6945071482317532,-0.8401299169974739,long,1,1576.3,1575.6,63,-44.100000000002865,165.2138103964,-209.31381039640286
external_catalyst_continuation_full_depth,P444_catalyst_continuation_H600_exhaustion_C3,official_catalyst_continuation,P373_2026-07-20_RELIANCE_106701986,2026-07-20,RELIANCE,Outcome of Board Meeting,exhaustion,3,600,900.0,152.07687069683263,-0.4121469632591852,-0.3659705580280726,4.784158415841584,long,1,1341.9,1339.0,74,-214.60000000000673,165.1997343192,-379.7997343192067
external_catalyst_continuation_full_depth,P444_catalyst_continuation_H600_exhaustion_C3,official_catalyst_continuation,P373_2026-07-20_RELIANCE_106702014,2026-07-20,RELIANCE,Press Release,exhaustion,3,600,900.0,152.07687069683263,-0.4121469632591852,-0.3659705580280726,4.784158415841584,long,1,1341.9,1339.0,74,-214.60000000000673,165.1997343192,-379.7997343192067
external_catalyst_continuation_full_depth,P444_catalyst_continuation_H600_exhaustion_C3,official_catalyst_continuation,P373_2026-07-20_RELIANCE_106702019,2026-07-20,RELIANCE,Investor Presentation,exhaustion,3,600,900.0,152.07687069683263,-0.4121469632591852,-0.3659705580280726,4.784158415841584,long,1,1341.9,1339.0,74,-214.60000000000673,165.1997343192,-379.7997343192067
external_catalyst_continuation_full_depth,P444_catalyst_continuation_H600_exhaustion_C3,official_catalyst_continuation,P373_2026-07-21_BAJAJ-AUTO_106703749,2026-07-21,BAJAJ-AUTO,Reply to Clarification- Financial results,exhaustion,3,600,900.0,-28.49544072948328,0.2989690721649484,0.1147540983606557,-0.6504297994269341,short,-1,10496.5,10530.0,9,-301.5,162.24351066200003,-463.74351066200006
external_catalyst_continuation_full_depth,P444_catalyst_continuation_H600_exhaustion_C3,official_catalyst_continuation,P373_2026-07-21_HCLTECH_106704006,2026-07-21,HCLTECH,Shareholders meeting,exhaustion,3,600,900.0,20.08279027829233,-0.2629969418960244,-0.187948350071736,1.6807692307692308,long,1,1222.5,1230.0,81,607.5,165.20294083,442.29705917
external_catalyst_continuation_full_depth,P444_catalyst_continuation_H600_exhaustion_C3,official_catalyst_continuation,P373_2026-07-21_HCLTECH_106704043,2026-07-21,HCLTECH,Updates,exhaustion,3,600,900.0,20.08279027829233,-0.2629969418960244,-0.187948350071736,1.6807692307692308,long,1,1222.5,1230.0,81,607.5,165.20294083,442.29705917
external_catalyst_continuation_full_depth,P444_catalyst_continuation_H600_exhaustion_C3,official_catalyst_continuation,P373_2026-07-22_SBIN_106705034,2026-07-22,SBIN,Press Release,exhaustion,3,600,900.0,-88.62700009581297,0.3304742065923293,0.3638632664134563,-0.7980096885206375,short,-1,1034.2,1028.6,96,537.6000000000131,165.1396665856,372.46033341441307
external_catalyst_continuation_full_depth,P444_catalyst_continuation_H600_exhaustion_C3,official_catalyst_continuation,P373_2026-07-22_ICICIBANK_106705817,2026-07-22,ICICIBANK,General Updates,exhaustion,3,600,900.0,-76.5628738421562,0.4186851211072664,0.3715529753265602,1.9444444444444444,short,-1,1451.4,1448.7,68,183.6000000000031,165.0641311216,18.53586887840308
external_catalyst_continuation_full_depth,P444_catalyst_continuation_H600_exhaustion_C3,official_catalyst_continuation,P373_2026-07-22_ICICIBANK_106705946,2026-07-22,ICICIBANK,Investor Presentation,exhaustion,3,600,900.0,-76.5628738421562,0.4186851211072664,0.3715529753265602,1.9444444444444444,short,-1,1451.4,1448.7,68,183.6000000000031,165.0641311216,18.53586887840308
external_catalyst_continuation_full_depth,P444_catalyst_continuation_H600_exhaustion_C3,official_catalyst_continuation,P373_2026-07-23_CIPLA_106707724,2026-07-23,CIPLA,Outcome of Board Meeting,exhaustion,3,600,900.0,-159.07091325004333,0.2006633499170812,0.075880758807588,-0.2530364372469635,short,-1,1397.7,1379.0,71,1327.7000000000032,165.02340410839997,1162.6765958916033
external_catalyst_continuation_full_depth,P444_catalyst_continuation_H600_exhaustion_C3,official_catalyst_continuation,P373_2026-07-23_BPCL_106707155,2026-07-23,BPCL,Investor Presentation,exhaustion,3,600,900.0,72.74807912375236,-0.2249499909074377,0.4506247768654052,6.493311931514179,long,1,308.15,314.0,324,1895.4000000000074,165.47078459919996,1729.9292154008074
external_catalyst_continuation_full_depth,P444_catalyst_continuation_H600_exhaustion_C3,official_catalyst_continuation,P373_2026-07-23_TCS_106706625,2026-07-23,TCS,Updates,exhaustion,3,600,900.0,-24.279004333917374,0.6789095039757668,0.6468415219800517,8.772563176895307,short,-1,2198.0,2197.7,45,13.500000000008185,165.132089878,-151.6320898779918
external_catalyst_continuation_full_depth,P444_catalyst_continuation_H600_exhaustion_C3,official_catalyst_continuation,P373_2026-07-24_CIPLA_106708657,2026-07-24,CIPLA,Analysts/Institutional Investor Meet/Con. Call Updates,exhaustion,3,600,900.0,306.3936781609202,-0.3065326633165829,-0.3567839195979899,0.1306818181818181,long,1,1435.0,1429.3,69,-393.30000000000314,165.1264968004,-558.4264968004031
external_catalyst_continuation_full_depth,P444_catalyst_continuation_H600_exhaustion_C3,official_catalyst_continuation,P373_2026-07-24_DRREDDY_106708749,2026-07-24,DRREDDY,Copy of Newspaper Publication,exhaustion,3,600,900.0,-99.81070383755063,0.2284644194756554,0.1574608408903545,-0.3382433169667212,short,-1,1150.3,1145.9,86,378.39999999998827,165.08620903840003,213.31379096158824
external_catalyst_continuation_full_depth,P444_catalyst_continuation_H600_exhaustion_C3,official_catalyst_continuation,P373_2026-07-24_DRREDDY_106708761,2026-07-24,DRREDDY,Shareholders meeting,exhaustion,3,600,900.0,-99.81070383755063,0.2284644194756554,0.1574608408903545,-0.3382433169667212,short,-1,1150.3,1145.9,86,378.39999999998827,165.08620903840003,213.31379096158824
external_catalyst_continuation_full_depth,P444_catalyst_continuation_H600_exhaustion_C3,official_catalyst_continuation,P373_2026-07-27_ULTRACEMCO_106710163,2026-07-27,ULTRACEMCO,Record Date,exhaustion,3,600,900.0,-70.3223105902051,0.3571428571428571,0.2587412587412587,0.4895833333333333,short,-1,11857.0,11864.0,8,-56.0,162.291643616,-218.291643616
external_catalyst_continuation_full_depth,P444_catalyst_continuation_H600_exhaustion_C3,official_catalyst_continuation,P373_2026-07-27_KOTAKBANK_106710179,2026-07-27,KOTAKBANK,Analysts/Institutional Investor Meet/Con. Call Updates,exhaustion,3,600,900.0,47.30430274753729,-0.5453578603222121,-0.5548480863727594,6.201096436581111,long,1,387.75,387.2,257,-141.35000000000292,165.2788237658,-306.62882376580296
external_catalyst_continuation_full_depth,P444_catalyst_continuation_H600_exhaustion_C3,official_catalyst_continuation,P373_2026-07-27_BHARTIARTL_106710468,2026-07-27,BHARTIARTL,Updates,exhaustion,3,600,900.0,32.20696937697946,-0.3610859728506787,-0.3385281385281385,-0.6158962421017625,long,1,1900.2,1899.7,52,-26.0,165.11108617760001,-191.11108617760001
external_catalyst_continuation_full_depth,P444_catalyst_continuation_H600_exhaustion_C5,official_catalyst_continuation,P373_2026-07-10_DRREDDY_106692956,2026-07-10,DRREDDY,Analysts/Institutional Investor Meet/Con. Call Updates,exhaustion,5,600,900.0,-92.30521181829212,0.448441247002398,0.4518828451882845,-0.6636171710063336,short,-1,1228.8,1240.9,81,-980.100000000011,165.3965929084,-1145.496592908411
