window_name,symbol,horizon_ms,rows,window_seconds,event_rate_per_second,expected_bins,bins_with_update,coverage_fraction,forward_fill_fraction,median_gap_ms,p95_gap_ms,supported_dense_regular_panel,supports_event_driven_1s
open_0915_0920,BPCL,5000,185,300.0,0.6166666666666667,60,51,0.85,0.15000000000000002,751.0,7600.899999999998,False,False
open_0915_0920,BPCL,15000,185,300.0,0.6166666666666667,20,20,1.0,0.0,751.0,7600.899999999998,True,False
open_0915_0920,BPCL,60000,185,300.0,0.6166666666666667,5,5,1.0,0.0,751.0,7600.899999999998,True,False
open_0915_0920,BRITANNIA,100,62,300.0,0.20666666666666667,3000,61,0.02033333333333333,0.9796666666666667,4770.0,9001.0,False,False
open_0915_0920,BRITANNIA,250,62,300.0,0.20666666666666667,1200,60,0.05,0.95,4770.0,9001.0,False,False
open_0915_0920,BRITANNIA,500,62,300.0,0.20666666666666667,600,55,0.09166666666666666,0.9083333333333333,4770.0,9001.0,False,False
open_0915_0920,BRITANNIA,1000,62,300.0,0.20666666666666667,300,55,0.18333333333333332,0.8166666666666667,4770.0,9001.0,False,False
open_0915_0920,BRITANNIA,5000,62,300.0,0.20666666666666667,60,44,0.7333333333333333,0.2666666666666667,4770.0,9001.0,False,False
open_0915_0920,BRITANNIA,15000,62,300.0,0.20666666666666667,20,20,1.0,0.0,4770.0,9001.0,True,False
open_0915_0920,BRITANNIA,60000,62,300.0,0.20666666666666667,5,5,1.0,0.0,4770.0,9001.0,True,False
open_0915_0920,CIPLA,100,62,300.0,0.20666666666666667,3000,58,0.019333333333333334,0.9806666666666667,4973.0,8749.0,False,False
open_0915_0920,CIPLA,250,62,300.0,0.20666666666666667,1200,58,0.04833333333333333,0.9516666666666667,4973.0,8749.0,False,False
open_0915_0920,CIPLA,500,62,300.0,0.20666666666666667,600,58,0.09666666666666666,0.9033333333333333,4973.0,8749.0,False,False
open_0915_0920,CIPLA,1000,62,300.0,0.20666666666666667,300,57,0.19,0.81,4973.0,8749.0,False,False
open_0915_0920,CIPLA,5000,62,300.0,0.20666666666666667,60,47,0.7833333333333333,0.21666666666666667,4973.0,8749.0,False,False
open_0915_0920,CIPLA,15000,62,300.0,0.20666666666666667,20,20,1.0,0.0,4973.0,8749.0,True,False
open_0915_0920,CIPLA,60000,62,300.0,0.20666666666666667,5,5,1.0,0.0,4973.0,8749.0,True,False
open_0915_0920,DRREDDY,100,287,300.0,0.9566666666666667,3000,223,0.07433333333333333,0.9256666666666666,501.0,4572.75,False,False
open_0915_0920,DRREDDY,250,287,300.0,0.9566666666666667,1200,219,0.1825,0.8175,501.0,4572.75,False,False
open_0915_0920,DRREDDY,500,287,300.0,0.9566666666666667,600,190,0.31666666666666665,0.6833333333333333,501.0,4572.75,False,False
open_0915_0920,DRREDDY,1000,287,300.0,0.9566666666666667,300,160,0.5333333333333333,0.4666666666666667,501.0,4572.75,False,False
open_0915_0920,DRREDDY,5000,287,300.0,0.9566666666666667,60,54,0.9,0.09999999999999998,501.0,4572.75,True,False
open_0915_0920,DRREDDY,15000,287,300.0,0.9566666666666667,20,20,1.0,0.0,501.0,4572.75,True,False
open_0915_0920,DRREDDY,60000,287,300.0,0.9566666666666667,5,5,1.0,0.0,501.0,4572.75,True,False
open_0915_0920,GOLDBEES,100,205,300.0,0.6833333333333333,3000,169,0.05633333333333333,0.9436666666666667,749.0,6414.0499999999965,False,False
open_0915_0920,GOLDBEES,250,205,300.0,0.6833333333333333,1200,168,0.14,0.86,749.0,6414.0499999999965,False,False
open_0915_0920,GOLDBEES,500,205,300.0,0.6833333333333333,600,150,0.25,0.75,749.0,6414.0499999999965,False,False
open_0915_0920,GOLDBEES,1000,205,300.0,0.6833333333333333,300,121,0.4033333333333333,0.5966666666666667,749.0,6414.0499999999965,False,False
open_0915_0920,GOLDBEES,5000,205,300.0,0.6833333333333333,60,50,0.8333333333333334,0.16666666666666663,749.0,6414.0499999999965,False,False
open_0915_0920,GOLDBEES,15000,205,300.0,0.6833333333333333,20,20,1.0,0.0,749.0,6414.0499999999965,True,False
open_0915_0920,GOLDBEES,60000,205,300.0,0.6833333333333333,5,5,1.0,0.0,749.0,6414.0499999999965,True,False
open_0915_0920,HCLTECH,100,445,300.0,1.4833333333333334,3000,340,0.11333333333333333,0.8866666666666667,500.0,1251.0,False,False
open_0915_0920,HCLTECH,250,445,300.0,1.4833333333333334,1200,330,0.275,0.725,500.0,1251.0,False,False
open_0915_0920,HCLTECH,500,445,300.0,1.4833333333333334,600,290,0.48333333333333334,0.5166666666666666,500.0,1251.0,False,False
open_0915_0920,HCLTECH,1000,445,300.0,1.4833333333333334,300,221,0.7366666666666667,0.2633333333333333,500.0,1251.0,False,True
open_0915_0920,HCLTECH,5000,445,300.0,1.4833333333333334,60,59,0.9833333333333333,0.01666666666666672,500.0,1251.0,True,False
open_0915_0920,HCLTECH,15000,445,300.0,1.4833333333333334,20,20,1.0,0.0,500.0,1251.0,True,False
open_0915_0920,HCLTECH,60000,445,300.0,1.4833333333333334,5,5,1.0,0.0,500.0,1251.0,True,False
open_0915_0920,HDFCBANK,100,413,300.0,1.3766666666666667,3000,322,0.10733333333333334,0.8926666666666667,500.0,1251.45,False,False
open_0915_0920,HDFCBANK,250,413,300.0,1.3766666666666667,1200,315,0.2625,0.7375,500.0,1251.45,False,False
open_0915_0920,HDFCBANK,500,413,300.0,1.3766666666666667,600,277,0.46166666666666667,0.5383333333333333,500.0,1251.45,False,False
open_0915_0920,HDFCBANK,1000,413,300.0,1.3766666666666667,300,223,0.7433333333333333,0.2566666666666667,500.0,1251.45,False,True
open_0915_0920,HDFCBANK,5000,413,300.0,1.3766666666666667,60,59,0.9833333333333333,0.01666666666666672,500.0,1251.45,True,False
open_0915_0920,HDFCBANK,15000,413,300.0,1.3766666666666667,20,20,1.0,0.0,500.0,1251.45,True,False
open_0915_0920,HDFCBANK,60000,413,300.0,1.3766666666666667,5,5,1.0,0.0,500.0,1251.45,True,False
