root,trade_date,exchange,symbol,symbol_dir,parquet_files,bytes,first_file,last_file,discovery_status
scratch_azcopy_selected\raw_l2,2026-07-08,NSE,HINDUNILVR,scratch_azcopy_selected\raw_l2\trade_date=2026-07-08\trade_date=2026-07-08\exchange=NSE\symbol=HINDUNILVR,641,22359521,scratch_azcopy_selected\raw_l2\trade_date=2026-07-08\trade_date=2026-07-08\exchange=NSE\symbol=HINDUNILVR\part-073445_351918-000013.parquet,scratch_azcopy_selected\raw_l2\trade_date=2026-07-08\trade_date=2026-07-08\exchange=NSE\symbol=HINDUNILVR\part-100141_557253-020490.parquet,ok
scratch_azcopy_selected\raw_l2,2026-07-08,NSE,ICICIBANK,scratch_azcopy_selected\raw_l2\trade_date=2026-07-08\trade_date=2026-07-08\exchange=NSE\symbol=ICICIBANK,641,22984610,scratch_azcopy_selected\raw_l2\trade_date=2026-07-08\trade_date=2026-07-08\exchange=NSE\symbol=ICICIBANK\part-073445_486437-000014.parquet,scratch_azcopy_selected\raw_l2\trade_date=2026-07-08\trade_date=2026-07-08\exchange=NSE\symbol=ICICIBANK\part-100141_666872-020491.parquet,ok
scratch_azcopy_selected\raw_l2,2026-07-08,NSE,INFY,scratch_azcopy_selected\raw_l2\trade_date=2026-07-08\trade_date=2026-07-08\exchange=NSE\symbol=INFY,641,22736564,scratch_azcopy_selected\raw_l2\trade_date=2026-07-08\trade_date=2026-07-08\exchange=NSE\symbol=INFY\part-073445_602798-000015.parquet,scratch_azcopy_selected\raw_l2\trade_date=2026-07-08\trade_date=2026-07-08\exchange=NSE\symbol=INFY\part-100141_770666-020492.parquet,ok
scratch_azcopy_selected\raw_l2,2026-07-08,NSE,ITBEES,scratch_azcopy_selected\raw_l2\trade_date=2026-07-08\trade_date=2026-07-08\exchange=NSE\symbol=ITBEES,641,22089190,scratch_azcopy_selected\raw_l2\trade_date=2026-07-08\trade_date=2026-07-08\exchange=NSE\symbol=ITBEES\part-073445_718369-000016.parquet,scratch_azcopy_selected\raw_l2\trade_date=2026-07-08\trade_date=2026-07-08\exchange=NSE\symbol=ITBEES\part-100141_879358-020493.parquet,ok
scratch_azcopy_selected\raw_l2,2026-07-08,NSE,ITC,scratch_azcopy_selected\raw_l2\trade_date=2026-07-08\trade_date=2026-07-08\exchange=NSE\symbol=ITC,641,22455233,scratch_azcopy_selected\raw_l2\trade_date=2026-07-08\trade_date=2026-07-08\exchange=NSE\symbol=ITC\part-073445_866169-000017.parquet,scratch_azcopy_selected\raw_l2\trade_date=2026-07-08\trade_date=2026-07-08\exchange=NSE\symbol=ITC\part-100142_006553-020494.parquet,ok
scratch_azcopy_selected\raw_l2,2026-07-08,NSE,JUNIORBEES,scratch_azcopy_selected\raw_l2\trade_date=2026-07-08\trade_date=2026-07-08\exchange=NSE\symbol=JUNIORBEES,641,22568378,scratch_azcopy_selected\raw_l2\trade_date=2026-07-08\trade_date=2026-07-08\exchange=NSE\symbol=JUNIORBEES\part-073445_997997-000018.parquet,scratch_azcopy_selected\raw_l2\trade_date=2026-07-08\trade_date=2026-07-08\exchange=NSE\symbol=JUNIORBEES\part-100142_116738-020495.parquet,ok
scratch_azcopy_selected\raw_l2,2026-07-08,NSE,KOTAKBANK,scratch_azcopy_selected\raw_l2\trade_date=2026-07-08\trade_date=2026-07-08\exchange=NSE\symbol=KOTAKBANK,641,22729760,scratch_azcopy_selected\raw_l2\trade_date=2026-07-08\trade_date=2026-07-08\exchange=NSE\symbol=KOTAKBANK\part-073446_107086-000019.parquet,scratch_azcopy_selected\raw_l2\trade_date=2026-07-08\trade_date=2026-07-08\exchange=NSE\symbol=KOTAKBANK\part-100142_239451-020496.parquet,ok
scratch_azcopy_selected\raw_l2,2026-07-08,NSE,LT,scratch_azcopy_selected\raw_l2\trade_date=2026-07-08\trade_date=2026-07-08\exchange=NSE\symbol=LT,641,22958116,scratch_azcopy_selected\raw_l2\trade_date=2026-07-08\trade_date=2026-07-08\exchange=NSE\symbol=LT\part-073446_226721-000020.parquet,scratch_azcopy_selected\raw_l2\trade_date=2026-07-08\trade_date=2026-07-08\exchange=NSE\symbol=LT\part-100142_357559-020497.parquet,ok
scratch_azcopy_selected\raw_l2,2026-07-08,NSE,M&M,scratch_azcopy_selected\raw_l2\trade_date=2026-07-08\trade_date=2026-07-08\exchange=NSE\symbol=M&M,641,22867747,scratch_azcopy_selected\raw_l2\trade_date=2026-07-08\trade_date=2026-07-08\exchange=NSE\symbol=M&M\part-073446_344136-000021.parquet,scratch_azcopy_selected\raw_l2\trade_date=2026-07-08\trade_date=2026-07-08\exchange=NSE\symbol=M&M\part-100142_459029-020498.parquet,ok
scratch_azcopy_selected\raw_l2,2026-07-08,NSE,MARUTI,scratch_azcopy_selected\raw_l2\trade_date=2026-07-08\trade_date=2026-07-08\exchange=NSE\symbol=MARUTI,641,22559567,scratch_azcopy_selected\raw_l2\trade_date=2026-07-08\trade_date=2026-07-08\exchange=NSE\symbol=MARUTI\part-073446_469930-000022.parquet,scratch_azcopy_selected\raw_l2\trade_date=2026-07-08\trade_date=2026-07-08\exchange=NSE\symbol=MARUTI\part-100142_602509-020499.parquet,ok
scratch_azcopy_selected\raw_l2,2026-07-08,NSE,NESTLEIND,scratch_azcopy_selected\raw_l2\trade_date=2026-07-08\trade_date=2026-07-08\exchange=NSE\symbol=NESTLEIND,641,22225982,scratch_azcopy_selected\raw_l2\trade_date=2026-07-08\trade_date=2026-07-08\exchange=NSE\symbol=NESTLEIND\part-073446_613957-000023.parquet,scratch_azcopy_selected\raw_l2\trade_date=2026-07-08\trade_date=2026-07-08\exchange=NSE\symbol=NESTLEIND\part-100142_710474-020500.parquet,ok
scratch_azcopy_selected\raw_l2,2026-07-08,NSE,NIFTYBEES,scratch_azcopy_selected\raw_l2\trade_date=2026-07-08\trade_date=2026-07-08\exchange=NSE\symbol=NIFTYBEES,641,22644435,scratch_azcopy_selected\raw_l2\trade_date=2026-07-08\trade_date=2026-07-08\exchange=NSE\symbol=NIFTYBEES\part-073446_725850-000024.parquet,scratch_azcopy_selected\raw_l2\trade_date=2026-07-08\trade_date=2026-07-08\exchange=NSE\symbol=NIFTYBEES\part-100142_818192-020501.parquet,ok
scratch_azcopy_selected\raw_l2,2026-07-08,NSE,ONGC,scratch_azcopy_selected\raw_l2\trade_date=2026-07-08\trade_date=2026-07-08\exchange=NSE\symbol=ONGC,641,22493341,scratch_azcopy_selected\raw_l2\trade_date=2026-07-08\trade_date=2026-07-08\exchange=NSE\symbol=ONGC\part-073446_843264-000025.parquet,scratch_azcopy_selected\raw_l2\trade_date=2026-07-08\trade_date=2026-07-08\exchange=NSE\symbol=ONGC\part-100142_959084-020502.parquet,ok
scratch_azcopy_selected\raw_l2,2026-07-08,NSE,RELIANCE,scratch_azcopy_selected\raw_l2\trade_date=2026-07-08\trade_date=2026-07-08\exchange=NSE\symbol=RELIANCE,640,23024087,scratch_azcopy_selected\raw_l2\trade_date=2026-07-08\trade_date=2026-07-08\exchange=NSE\symbol=RELIANCE\part-073446_959823-000026.parquet,scratch_azcopy_selected\raw_l2\trade_date=2026-07-08\trade_date=2026-07-08\exchange=NSE\symbol=RELIANCE\part-100112_301811-020474.parquet,ok
scratch_azcopy_selected\raw_l2,2026-07-08,NSE,SBIN,scratch_azcopy_selected\raw_l2\trade_date=2026-07-08\trade_date=2026-07-08\exchange=NSE\symbol=SBIN,640,22778539,scratch_azcopy_selected\raw_l2\trade_date=2026-07-08\trade_date=2026-07-08\exchange=NSE\symbol=SBIN\part-073447_069045-000027.parquet,scratch_azcopy_selected\raw_l2\trade_date=2026-07-08\trade_date=2026-07-08\exchange=NSE\symbol=SBIN\part-100112_430562-020475.parquet,ok
scratch_azcopy_selected\raw_l2,2026-07-08,NSE,SUNPHARMA,scratch_azcopy_selected\raw_l2\trade_date=2026-07-08\trade_date=2026-07-08\exchange=NSE\symbol=SUNPHARMA,641,22318682,scratch_azcopy_selected\raw_l2\trade_date=2026-07-08\trade_date=2026-07-08\exchange=NSE\symbol=SUNPHARMA\part-073447_183315-000028.parquet,scratch_azcopy_selected\raw_l2\trade_date=2026-07-08\trade_date=2026-07-08\exchange=NSE\symbol=SUNPHARMA\part-100143_068866-020503.parquet,ok
