artifact_id,required_field,value_source,normalized_value_present
phase22,latency_model_version,source_manifest_exact_or_alias,True
phase22,creation_timestamp,source_manifest_exact_or_alias,True
phase23,generator_version,source_manifest_exact_or_alias,True
phase23,configuration_hash,source_manifest_exact_or_alias,True
phase23,random_seed,source_manifest_exact_or_alias,True
phase23,calibration_dataset_id,source_manifest_exact_or_alias,True
phase23,ticker_metadata_version,source_manifest_exact_or_alias,True
phase23,regime_calendar_version,source_manifest_exact_or_alias,True
phase23,scenario_ids,source_manifest_exact_or_alias,True
phase23,cost_model_version,source_manifest_exact_or_alias,True
phase23,latency_model_version,source_manifest_exact_or_alias,True
phase23,creation_timestamp,source_manifest_exact_or_alias,True
phase25,generator_version,source_manifest_exact_or_alias,True
phase25,configuration_hash,source_manifest_exact_or_alias,True
phase25,random_seed,source_manifest_exact_or_alias,True
phase25,calibration_dataset_id,source_manifest_exact_or_alias,True
phase25,ticker_metadata_version,source_manifest_exact_or_alias,True
phase25,regime_calendar_version,source_manifest_exact_or_alias,True
phase25,scenario_ids,source_manifest_exact_or_alias,True
phase25,cost_model_version,source_manifest_exact_or_alias,True
phase25,latency_model_version,source_manifest_exact_or_alias,True
phase25,creation_timestamp,source_manifest_exact_or_alias,True
phase26,generator_version,source_manifest_exact_or_alias,True
phase26,configuration_hash,source_manifest_exact_or_alias,True
phase26,random_seed,source_manifest_exact_or_alias,True
phase26,calibration_dataset_id,source_manifest_exact_or_alias,True
phase26,ticker_metadata_version,source_manifest_exact_or_alias,True
phase26,regime_calendar_version,source_manifest_exact_or_alias,True
phase26,scenario_ids,source_manifest_exact_or_alias,True
phase26,cost_model_version,source_manifest_exact_or_alias,True
phase26,latency_model_version,source_manifest_exact_or_alias,True
phase26,creation_timestamp,source_manifest_exact_or_alias,True
phase2,generator_version,source_manifest_exact_or_alias,True
phase2,configuration_hash,source_manifest_exact_or_alias,True
phase2,random_seed,source_manifest_exact_or_alias,True
phase2,calibration_dataset_id,source_manifest_exact_or_alias,True
phase2,ticker_metadata_version,source_manifest_exact_or_alias,True
phase2,regime_calendar_version,source_manifest_exact_or_alias,True
phase2,scenario_ids,source_manifest_exact_or_alias,True
phase2,cost_model_version,source_manifest_exact_or_alias,True
phase2,latency_model_version,source_manifest_exact_or_alias,True
phase2,creation_timestamp,source_manifest_exact_or_alias,True
phase3,generator_version,source_manifest_exact_or_alias,True
phase3,configuration_hash,source_manifest_exact_or_alias,True
