trade_date,exchange,symbol,parquet_files,bytes,first_file,last_file
2026-07-08,NSE,SUNPHARMA,641,22318682,trade_date=2026-07-08/exchange=NSE/symbol=SUNPHARMA/part-073447_183315-000028.parquet,trade_date=2026-07-08/exchange=NSE/symbol=SUNPHARMA/part-100143_068866-020503.parquet
2026-07-08,NSE,TCS,641,22407965,trade_date=2026-07-08/exchange=NSE/symbol=TCS/part-073447_291090-000029.parquet,trade_date=2026-07-08/exchange=NSE/symbol=TCS/part-100143_191036-020504.parquet
2026-07-08,NSE,TECHM,641,22183936,trade_date=2026-07-08/exchange=NSE/symbol=TECHM/part-073447_402618-000030.parquet,trade_date=2026-07-08/exchange=NSE/symbol=TECHM/part-100143_301299-020505.parquet
2026-07-08,NSE,ULTRACEMCO,641,22236338,trade_date=2026-07-08/exchange=NSE/symbol=ULTRACEMCO/part-073447_534086-000031.parquet,trade_date=2026-07-08/exchange=NSE/symbol=ULTRACEMCO/part-100143_410092-020506.parquet
2026-07-08,NSE,WIPRO,641,22169452,trade_date=2026-07-08/exchange=NSE/symbol=WIPRO/part-073447_655264-000032.parquet,trade_date=2026-07-08/exchange=NSE/symbol=WIPRO/part-100143_527368-020507.parquet
2026-07-09,NSE,ADANIPORTS,893,31192035,trade_date=2026-07-09/exchange=NSE/symbol=ADANIPORTS/part-062603_563467-000001.parquet,trade_date=2026-07-09/exchange=NSE/symbol=ADANIPORTS/part-100144_494501-028555.parquet
2026-07-09,NSE,AXISBANK,892,31570078,trade_date=2026-07-09/exchange=NSE/symbol=AXISBANK/part-062603_714610-000002.parquet,trade_date=2026-07-09/exchange=NSE/symbol=AXISBANK/part-100125_997677-028533.parquet
2026-07-09,NSE,BAJAJ-AUTO,892,31020945,trade_date=2026-07-09/exchange=NSE/symbol=BAJAJ-AUTO/part-062603_859366-000003.parquet,trade_date=2026-07-09/exchange=NSE/symbol=BAJAJ-AUTO/part-100144_647566-028556.parquet
2026-07-09,NSE,BANKBEES,894,31580460,trade_date=2026-07-09/exchange=NSE/symbol=BANKBEES/part-062604_015424-000004.parquet,trade_date=2026-07-09/exchange=NSE/symbol=BANKBEES/part-100144_772018-028557.parquet
2026-07-09,NSE,BHARTIARTL,892,32238955,trade_date=2026-07-09/exchange=NSE/symbol=BHARTIARTL/part-062604_161207-000005.parquet,trade_date=2026-07-09/exchange=NSE/symbol=BHARTIARTL/part-100126_122846-028534.parquet
2026-07-09,NSE,BPCL,893,30924713,trade_date=2026-07-09/exchange=NSE/symbol=BPCL/part-062604_289867-000006.parquet,trade_date=2026-07-09/exchange=NSE/symbol=BPCL/part-100144_934637-028558.parquet
2026-07-09,NSE,BRITANNIA,892,30916269,trade_date=2026-07-09/exchange=NSE/symbol=BRITANNIA/part-062604_429679-000007.parquet,trade_date=2026-07-09/exchange=NSE/symbol=BRITANNIA/part-100459_570740-028560.parquet
2026-07-09,NSE,CIPLA,892,30907690,trade_date=2026-07-09/exchange=NSE/symbol=CIPLA/part-062604_571900-000008.parquet,trade_date=2026-07-09/exchange=NSE/symbol=CIPLA/part-100145_058507-028559.parquet
2026-07-09,NSE,DRREDDY,892,31896440,trade_date=2026-07-09/exchange=NSE/symbol=DRREDDY/part-062604_717234-000009.parquet,trade_date=2026-07-09/exchange=NSE/symbol=DRREDDY/part-100112_873910-028526.parquet
2026-07-09,NSE,GOLDBEES,893,31244094,trade_date=2026-07-09/exchange=NSE/symbol=GOLDBEES/part-062604_855433-000010.parquet,trade_date=2026-07-09/exchange=NSE/symbol=GOLDBEES/part-100126_253050-028535.parquet
2026-07-09,NSE,HCLTECH,892,31085265,trade_date=2026-07-09/exchange=NSE/symbol=HCLTECH/part-062604_988832-000011.parquet,trade_date=2026-07-09/exchange=NSE/symbol=HCLTECH/part-100126_375203-028536.parquet
2026-07-09,NSE,HDFCBANK,892,32271288,trade_date=2026-07-09/exchange=NSE/symbol=HDFCBANK/part-062605_125051-000012.parquet,trade_date=2026-07-09/exchange=NSE/symbol=HDFCBANK/part-100112_998234-028527.parquet
2026-07-09,NSE,HINDUNILVR,892,31470657,trade_date=2026-07-09/exchange=NSE/symbol=HINDUNILVR/part-062605_266987-000013.parquet,trade_date=2026-07-09/exchange=NSE/symbol=HINDUNILVR/part-100113_138124-028528.parquet
2026-07-09,NSE,ICICIBANK,892,32126198,trade_date=2026-07-09/exchange=NSE/symbol=ICICIBANK/part-062605_407053-000014.parquet,trade_date=2026-07-09/exchange=NSE/symbol=ICICIBANK/part-100126_496570-028537.parquet
2026-07-09,NSE,INFY,892,31629099,trade_date=2026-07-09/exchange=NSE/symbol=INFY/part-062605_543700-000015.parquet,trade_date=2026-07-09/exchange=NSE/symbol=INFY/part-100113_270322-028529.parquet
