canonical_work_order_id,panel,symbol,announcement_time_ist,market_session,diagnostic_trade_date,diagnostic_start_rule,description,decision_delay_seconds,horizon_seconds,status,start_ms,start_tick_ms,decision_ms,exit_ms,forced_exit,start_mid,decision_mid,exit_mid,impulse_bps,impulse_side_sign,start_top5_qty,decision_top5_qty,replenishment_ratio,decision_top5_qty_imbalance,decision_l2_l5_qty_imbalance,decision_top5_order_imbalance,entry_long_price,exit_long_price,entry_short_price,exit_short_price,scenario_id,scenario_role,side_sign,side,quantity,buy_value_inr,sell_value_inr,gross_pnl_inr,cost200_inr,net_pnl_inr,cost_model_version,capacity_selected
P373_2026-07-08_LT_106690276,existing_phase341,LT,08-Jul-2026 12:29:03,regular_session,2026-07-08,first_real_tick_after_announcement,Press Release,120,900.0,ready,1783493943000.0,1783496075001.0,1783496195024.0,1783497095393.0,0.0,3977.3,3978.45,3970.85,2.891408744624836,1.0,790.0,373.0,-0.5278481012658228,0.2815013404825737,0.2895752895752895,-0.2857142857142857,3978.5,3970.5,3978.4,3971.2,P405_LIQUIDITY_VACUUM_CONTINUATION_FULL_DEPTH,liquidity_vacuum_continuation,1.0,long,25,99462.5,99262.5,-200.0,165.2347647,-365.2347647,zerodha_equity_intraday_nse_order_formula_v2_2026_07_14,1
P373_2026-07-08_CIPLA_106690396,existing_phase341,CIPLA,08-Jul-2026 13:37:12,regular_session,2026-07-08,first_real_tick_after_announcement,Analysts/Institutional Investor Meet/Con. Call Updates,120,900.0,ready,1783498032000.0,1783498032499.0,1783498152808.0,1783499053498.0,0.0,1445.8,1446.6999999999998,1437.0,6.224927375846339,1.0,401.0,557.0,0.3890274314214463,0.1813285457809695,0.1910112359550561,-0.0588235294117647,1446.8,1436.7,1446.6,1437.3,P405_LIQUIDITY_VACUUM_CONTINUATION_FULL_DEPTH,liquidity_vacuum_continuation,1.0,long,69,99829.2,99132.3,-696.8999999999937,165.27445973800002,-862.1744597379937,zerodha_equity_intraday_nse_order_formula_v2_2026_07_14,1
P373_2026-07-08_SBIN_106690529,existing_phase341,SBIN,08-Jul-2026 15:25:29,regular_session,2026-07-08,first_real_tick_after_announcement,Credit Rating,120,900.0,ready,1783504529000.0,1783504532045.0,1783504654585.0,1783504799991.0,1.0,1017.95,1018.85,1019.25,8.841298688539354,1.0,9632.0,12856.0,0.3347176079734219,0.163036714374611,0.2959317585301837,0.1388888888888889,1018.9,1018.6,1018.8,1019.9,P405_LIQUIDITY_VACUUM_CONTINUATION_FULL_DEPTH,liquidity_vacuum_continuation,1.0,long,98,99852.2,99822.8,-29.399999999995543,165.3292181,-194.72921809999553,zerodha_equity_intraday_nse_order_formula_v2_2026_07_14,0
P373_2026-07-09_RELIANCE_106691045,existing_phase341,RELIANCE,08-Jul-2026 19:08:15,post_close,2026-07-09,market_open_next_available_unseen_real_l2_day,Other Restructuring,120,900.0,ready,1783568700000.0,1783578354989.0,1783578474989.0,1783579375235.0,0.0,1288.6,1289.1,1290.55,3.880180040353873,1.0,17098.0,6924.0,-0.5950403555971459,0.9061236279607164,0.9123852472217748,0.7142857142857143,1289.2,1290.5,1289.0,1290.6,P405_LIQUIDITY_VACUUM_CONTINUATION_FULL_DEPTH,liquidity_vacuum_continuation,1.0,long,77,99268.40000000001,99368.5,100.0999999999965,165.2165277628,-65.11652776280351,zerodha_equity_intraday_nse_order_formula_v2_2026_07_14,1
P373_2026-07-10_TCS_106692052,existing_phase341,TCS,09-Jul-2026 15:52:21,post_close,2026-07-10,market_open_next_available_unseen_real_l2_day,Outcome of Board Meeting,120,900.0,ready,1783655100000.0,1783655104834.0,1783655225163.0,1783656125411.0,0.0,2115.3,2123.0,2078.55,36.401456058241465,1.0,1058.0,1063.0,0.0047258979206049,0.5540921919096896,0.572429906542056,0.3333333333333333,2123.5,2078.2,2122.5,2078.9,P405_LIQUIDITY_VACUUM_CONTINUATION_FULL_DEPTH,liquidity_vacuum_continuation,1.0,long,47,99804.5,97675.4,-2129.1000000000085,165.1621362788,-2294.2621362788086,zerodha_equity_intraday_nse_order_formula_v2_2026_07_14,1
P373_2026-07-10_TCS_106692059,existing_phase341,TCS,09-Jul-2026 15:54:18,post_close,2026-07-10,market_open_next_available_unseen_real_l2_day,Dividend,120,900.0,ready,1783655100000.0,1783655104834.0,1783655225163.0,1783656125411.0,0.0,2115.3,2123.0,2078.55,36.401456058241465,1.0,1058.0,1063.0,0.0047258979206049,0.5540921919096896,0.572429906542056,0.3333333333333333,2123.5,2078.2,2122.5,2078.9,P405_LIQUIDITY_VACUUM_CONTINUATION_FULL_DEPTH,liquidity_vacuum_continuation,1.0,long,47,99804.5,97675.4,-2129.1000000000085,165.1621362788,-2294.2621362788086,zerodha_equity_intraday_nse_order_formula_v2_2026_07_14,1
P373_2026-07-10_TCS_106692063,existing_phase341,TCS,09-Jul-2026 15:56:06,post_close,2026-07-10,market_open_next_available_unseen_real_l2_day,Press Release,120,900.0,ready,1783655100000.0,1783655104834.0,1783655225163.0,1783656125411.0,0.0,2115.3,2123.0,2078.55,36.401456058241465,1.0,1058.0,1063.0,0.0047258979206049,0.5540921919096896,0.572429906542056,0.3333333333333333,2123.5,2078.2,2122.5,2078.9,P405_LIQUIDITY_VACUUM_CONTINUATION_FULL_DEPTH,liquidity_vacuum_continuation,1.0,long,47,99804.5,97675.4,-2129.1000000000085,165.1621362788,-2294.2621362788086,zerodha_equity_intraday_nse_order_formula_v2_2026_07_14,0
P373_2026-07-10_TCS_106692067,existing_phase341,TCS,09-Jul-2026 15:57:25,post_close,2026-07-10,market_open_next_available_unseen_real_l2_day,General Updates,120,900.0,ready,1783655100000.0,1783655104834.0,1783655225163.0,1783656125411.0,0.0,2115.3,2123.0,2078.55,36.401456058241465,1.0,1058.0,1063.0,0.0047258979206049,0.5540921919096896,0.572429906542056,0.3333333333333333,2123.5,2078.2,2122.5,2078.9,P405_LIQUIDITY_VACUUM_CONTINUATION_FULL_DEPTH,liquidity_vacuum_continuation,1.0,long,47,99804.5,97675.4,-2129.1000000000085,165.1621362788,-2294.2621362788086,zerodha_equity_intraday_nse_order_formula_v2_2026_07_14,0
P373_2026-07-10_TCS_106692731,existing_phase341,TCS,09-Jul-2026 22:27:13,post_close,2026-07-10,market_open_next_available_unseen_real_l2_day,Analysts/Institutional Investor Meet/Con. Call Updates,120,900.0,ready,1783655100000.0,1783655104834.0,1783655225163.0,1783656125411.0,0.0,2115.3,2123.0,2078.55,36.401456058241465,1.0,1058.0,1063.0,0.0047258979206049,0.5540921919096896,0.572429906542056,0.3333333333333333,2123.5,2078.2,2122.5,2078.9,P405_LIQUIDITY_VACUUM_CONTINUATION_FULL_DEPTH,liquidity_vacuum_continuation,1.0,long,47,99804.5,97675.4,-2129.1000000000085,165.1621362788,-2294.2621362788086,zerodha_equity_intraday_nse_order_formula_v2_2026_07_14,0
P373_2026-07-13_TCS_106694050,existing_phase341,TCS,10-Jul-2026 18:53:25,post_close,2026-07-13,market_open_next_available_unseen_real_l2_day,Copy of Newspaper Publication,120,900.0,ready,1783914300000.0,1783914305195.0,1783914425709.0,1783915325710.0,0.0,2072.9,2096.15,2095.65,112.1617058227626,1.0,2812.0,1265.0,-0.5501422475106685,0.2743083003952569,0.2894308943089431,0.12,2096.5,2095.4,2095.8,2095.9,P405_LIQUIDITY_VACUUM_CONTINUATION_FULL_DEPTH,liquidity_vacuum_continuation,1.0,long,47,98535.5,98483.8,-51.699999999995725,165.05153787159998,-216.7515378715957,zerodha_equity_intraday_nse_order_formula_v2_2026_07_14,1
