strategy_id,source_strategy_id,feature_family,feature_status,execution_profile,trades,symbols,months,trade_dates,sum_gross_return,sum_cost_return,sum_net_return,mean_gross_return,mean_cost_return,mean_net_return,gross_pnl_inr,cost_pnl_drag_inr,annual_net_pnl_inr,worst_trade_pnl_inr,precision_cost_clear,mean_spread_bps,total_latency_buckets,fixed_slippage_ticks,internal_impact_bps,zerodha_charge_bps
P167_S08_CROSS_SYMBOL_LEAD_LAG_CONTINUATION,S08,cross_symbol_lead_lag,precommitted_phase167_single_s08_branch,zero_latency_spread_only_control,273062,5,12,252,-0.004263005248944851,41.43472665588817,-41.43898966113711,-1.5611858292054008e-08,0.00015174109416868026,-0.00015175670602697228,-426.3005248944852,4143472.665588863,-4143898.966113758,-314.32501934230726,1.831085980473299e-05,3.03482188337361,0,0.0,0.0,0.0
P167_S08_CROSS_SYMBOL_LEAD_LAG_CONTINUATION,S08,cross_symbol_lead_lag,precommitted_phase167_single_s08_branch,retail_marketable_default,272592,5,12,252,0.000954917053941684,282.5121323645069,-282.51117744745295,3.5031000687536098e-09,0.0010363918690369008,-0.0010363883659368321,95.49170539416832,28251213.23645235,-28251117.744746953,-402.85694383052055,1.100545870751893e-05,3.0345092275850702,2,1.0,0.5,8.26812
P167_S08_CROSS_SYMBOL_LEAD_LAG_CONTINUATION,S08,cross_symbol_lead_lag,precommitted_phase167_single_s08_branch,stressed_retail,272160,5,12,252,0.000531412852973534,325.02576736371975,-325.0252359508667,1.952575150549434e-09,0.0011942451769684,-0.0011942432243932492,53.141285297353306,32502576.736372247,-32502523.595086947,-418.6673937720669,7.348618459729571e-06,3.0344678237816485,4,2.0,2.0,8.26812
